current (mA), power (mW)
2.1, 0.0001
4.4, 0.0039
7.2, 0.0067
10.2, 0.0099
12.4, 0.0120
15.6, 0.0153
17.5, 0.0173
19.3, 0.0192
21.3, 0.0215
24.1, 0.0252
26.1, 0.0287
28.3, 0.0337
30.5, 0.0425
32.0, 0.0566
32.9, 0.0665
33.9, 0.420
34.6, 0.820
35.7, 1.490
37.2, 2.290
38.7, 3.050
40.3, 4.010
42.0, 5.010
44.2, 6.180
47.8, 8.100
49.4, 8.870
50.5, 9.470
53.6, 11.01
56.8, 12.76
58.4, 13.58
60.5, 14.61
62.9, 15.92
68.9, 18.85
70.6, 19.50
72.5, 20.48
75.0, 21.69
77.5, 22.89
80.5, 24.28
83.0, 25.52
85.8, 26.85
88.0, 27.83
90.6, 29.05
93.1, 30.14
95.4, 31.27
97.3, 32.04
99.9, 33.19
102.6, 34.37
105.5, 35.65
107.5, 36.47
110.6, 37.78
112.9, 38.70
115.3, 39.73
117.5, 40.56
120.8, 41.88
122.5, 42.41
125.2, 43.55
127.2, 44.30
130.0, 45.28
132.5, 46.24
135.4, 47.38
138.7, 48.56
140.4, 49.14
142.9, 49.98
