current (mA), power (mW)
2.1, 0.0001
4.9, 0.0026
10.8, 0.0058
14.4, 0.0076
20.5, 0.0112
24.4, 0.0137
28.4, 0.0182
30.1, 0.0217
31.1, 0.147
34.0, 0.869
35.7, 1.233
40.6, 2.311
44.6, 3.394
50.2, 4.834
55.1, 6.176
59.5, 7.135
65.4, 8.733
70.4, 9.952
75.9, 11.07
80.0, 12.34
85.6, 13.54
89.8, 14.20
94.8, 15.74
100.4, 16.92
105.1, 17.99
110.5, 18.94
115.1, 19.92
120.8, 21.30
125.7, 22.87
130.3, 23.66
134.4, 23.98
139.6, 24.95
144.7, 25.90
150.6, 27.31
154.9, 28.79
160.9, 28.95
165.2, 29.65
170.3, 31.85
175.0, 32.18
180.5, 33.60
185.3, 33.48
190.3, 35.40
195.4, 36.37
199.7, 36.03
