in s,C1 in V
-3.0000284E+01,4.275009E-01
-2.9999826E+01,4.252058E-01
-2.9999368E+01,4.257762E-01
-2.9998910E+01,4.276638E-01
-2.9998453E+01,4.270120E-01
-2.9997995E+01,4.225169E-01
-2.9997537E+01,4.253280E-01
-2.9997079E+01,4.262515E-01
-2.9996622E+01,4.251922E-01
-2.9996164E+01,4.238885E-01
-2.9995706E+01,4.251651E-01
-2.9995248E+01,4.260342E-01
-2.9994790E+01,4.272021E-01
-2.9994333E+01,4.244861E-01
-2.9993875E+01,4.266453E-01
-2.9993417E+01,4.269034E-01
-2.9992959E+01,4.247984E-01
-2.9992502E+01,4.239021E-01
-2.9992044E+01,4.274873E-01
-2.9991586E+01,4.268898E-01
-2.9991128E+01,4.264416E-01
-2.9990671E+01,4.244725E-01
-2.9990213E+01,4.262243E-01
-2.9989755E+01,4.240515E-01
-2.9989297E+01,4.269034E-01
-2.9988839E+01,4.248799E-01
-2.9988382E+01,4.266589E-01
-2.9987924E+01,4.255589E-01
-2.9987466E+01,4.256132E-01
-2.9987008E+01,4.242959E-01
-2.9986551E+01,4.259120E-01
-2.9986093E+01,4.249478E-01
-2.9985635E+01,4.253145E-01
-2.9985177E+01,4.242823E-01
-2.9984720E+01,4.256540E-01
-2.9984262E+01,4.275145E-01
-2.9983804E+01,4.256675E-01
-2.9983346E+01,4.261157E-01
-2.9982888E+01,4.275416E-01
-2.9982431E+01,4.282478E-01
-2.9981973E+01,4.275009E-01
-2.9981515E+01,4.252194E-01
-2.9981057E+01,4.266453E-01
-2.9980600E+01,4.283564E-01
-2.9980142E+01,4.255725E-01
-2.9979684E+01,4.242688E-01
-2.9979226E+01,4.250021E-01
-2.9978769E+01,4.273651E-01
-2.9978311E+01,4.267540E-01
-2.9977853E+01,4.234268E-01
-2.9977395E+01,4.250157E-01
-2.9976937E+01,4.267404E-01
-2.9976480E+01,4.272021E-01
-2.9976022E+01,4.258305E-01
-2.9975564E+01,4.284787E-01
-2.9975106E+01,4.276774E-01
-2.9974649E+01,4.265774E-01
-2.9974191E+01,4.279490E-01
-2.9973733E+01,4.268762E-01
-2.9973275E+01,4.286281E-01
-2.9972818E+01,4.275145E-01
-2.9972360E+01,4.240651E-01
-2.9971902E+01,4.262922E-01
-2.9971444E+01,4.282750E-01
-2.9970986E+01,4.263194E-01
-2.9970529E+01,4.248935E-01
-2.9970071E+01,4.264416E-01
-2.9969613E+01,4.281799E-01
-2.9969155E+01,4.273651E-01
-2.9968698E+01,4.254774E-01
-2.9968240E+01,4.259256E-01
-2.9967782E+01,4.258305E-01
-2.9967324E+01,4.249749E-01
-2.9966867E+01,4.256947E-01
-2.9966409E+01,4.273651E-01
-2.9965951E+01,4.272429E-01
-2.9965493E+01,4.271478E-01
-2.9965036E+01,4.271885E-01
