in s,C1 in V,C3 in V,C4 in V
-1.2000009E+02,7.525052E-01,8.2244873E-02,1.3820648E+00
-1.1999825E+02,7.524237E-01,7.6446533E-02,1.3828278E+00
-1.1999642E+02,7.525731E-01,2.2079468E-01,1.3828278E+00
-1.1999459E+02,7.526545E-01,2.4459839E-01,1.3782501E+00
-1.1999276E+02,7.525323E-01,2.2628784E-01,1.3813019E+00
-1.1999093E+02,7.525595E-01,8.9569092E-02,1.3843536E+00
-1.1998910E+02,7.525187E-01,8.8958740E-02,1.3835907E+00
-1.1998727E+02,7.525187E-01,1.9851685E-01,1.3828278E+00
-1.1998544E+02,7.524916E-01,3.1753540E-01,1.3797760E+00
-1.1998361E+02,7.525323E-01,2.7236938E-01,1.3744354E+00
-1.1998178E+02,7.525052E-01,2.6138306E-01,1.3835907E+00
-1.1997994E+02,7.526138E-01,2.2628784E-01,1.3889313E+00
-1.1997811E+02,7.526410E-01,3.0044556E-01,1.3851166E+00
-1.1997628E+02,7.526410E-01,3.5446167E-01,1.3790131E+00
-1.1997445E+02,7.525595E-01,1.8295288E-01,1.3835907E+00
-1.1997262E+02,7.526138E-01,1.7501831E-01,1.3851166E+00
-1.1997079E+02,7.526545E-01,2.2994995E-01,1.3813019E+00
-1.1996896E+02,7.526002E-01,2.8579712E-01,1.3767242E+00
-1.1996713E+02,7.525323E-01,9.9334717E-02,1.3805389E+00
-1.1996530E+02,7.525595E-01,7.2174072E-02,1.3843536E+00
-1.1996346E+02,7.526274E-01,1.4450073E-01,1.3813019E+00
-1.1996163E+02,7.525731E-01,3.8284302E-01,1.3782501E+00
-1.1995980E+02,7.526002E-01,2.9342651E-01,1.3744354E+00
-1.1995797E+02,7.525187E-01,1.7044067E-01,1.3797760E+00
-1.1995614E+02,7.526545E-01,7.0648193E-02,1.3813019E+00
-1.1995431E+02,7.526274E-01,1.0391235E-01,1.3851166E+00
-1.1995248E+02,7.526274E-01,1.6952515E-01,1.3774872E+00
-1.1995065E+02,7.526681E-01,1.2191772E-01,1.3767242E+00
-1.1994882E+02,7.527496E-01,6.4544678E-02,1.3729095E+00
-1.1994699E+02,7.525459E-01,3.0670166E-02,1.3774872E+00
-1.1994515E+02,7.525187E-01,7.1716309E-03,1.3767242E+00
-1.1994332E+02,7.524508E-01,-2.6397705E-02,1.3813019E+00
-1.1994149E+02,7.524916E-01,8.2855225E-02,1.3858795E+00
-1.1993966E+02,7.525323E-01,-4.1198730E-03,1.3851166E+00
-1.1993783E+02,7.525052E-01,1.0528564E-02,1.3828278E+00
-1.1993600E+02,7.525595E-01,1.8463135E-02,1.3927460E+00
-1.1993417E+02,7.525459E-01,-1.7654419E-01,1.3874054E+00
-1.1993234E+02,7.525731E-01,-1.3168335E-01,1.3866425E+00
-1.1993051E+02,7.526953E-01,-9.8419189E-02,1.3896942E+00
-1.1992867E+02,7.526817E-01,-1.2359619E-02,1.3935089E+00
-1.1992684E+02,7.526274E-01,-1.6326904E-02,1.3889313E+00
-1.1992501E+02,7.525052E-01,-1.3473511E-01,1.3912201E+00
-1.1992318E+02,7.525595E-01,-1.4633179E-01,1.3904572E+00
-1.1992135E+02,7.526274E-01,-1.3717651E-01,1.3881683E+00
-1.1991952E+02,7.525866E-01,-3.0670166E-02,1.3843536E+00
-1.1991769E+02,7.525323E-01,-1.2161255E-01,1.3904572E+00
-1.1991586E+02,7.526545E-01,-1.9424438E-01,1.3942719E+00
-1.1991403E+02,7.526138E-01,-3.1600952E-01,1.3973236E+00
-1.1991220E+02,7.527496E-01,-2.0431519E-01,1.3950348E+00
-1.1991036E+02,7.526410E-01,-1.0665894E-01,1.3927460E+00
-1.1990853E+02,7.526410E-01,-2.2140503E-01,1.3904572E+00
-1.1990670E+02,7.526002E-01,-2.4612427E-01,1.3874054E+00
-1.1990487E+02,7.526817E-01,-2.0248413E-01,1.3858795E+00
-1.1990304E+02,7.526410E-01,-1.1306763E-01,1.3835907E+00
-1.1990121E+02,7.526002E-01,-8.5601807E-02,1.3927460E+00
-1.1989938E+02,7.526953E-01,-1.8569946E-01,1.3957977E+00
-1.1989755E+02,7.526274E-01,-2.1652222E-01,1.3935089E+00
-1.1989572E+02,7.526002E-01,-1.6098022E-01,1.3927460E+00
-1.1989388E+02,7.525731E-01,-1.7745972E-01,1.3965607E+00
-1.1989205E+02,7.526410E-01,-2.8457642E-01,1.3980865E+00
-1.1989022E+02,7.525731E-01,-2.3422241E-01,1.3996124E+00
-1.1988839E+02,7.525323E-01,-2.0797729E-01,1.3980865E+00
-1.1988656E+02,7.524916E-01,-2.2598267E-01,1.3996124E+00
-1.1988473E+02,7.524508E-01,-2.6107788E-01,1.4064789E+00
-1.1988290E+02,7.525187E-01,-3.4378052E-01,1.3957977E+00
-1.1988107E+02,7.525595E-01,-3.3737183E-01,1.3950348E+00
-1.1987924E+02,7.524780E-01,-2.0034790E-01,1.3988495E+00
-1.1987741E+02,7.524916E-01,-1.4999390E-01,1.3957977E+00
-1.1987557E+02,7.524780E-01,-1.7013550E-01,1.3965607E+00
-1.1987374E+02,7.525731E-01,-2.0523071E-01,1.3996124E+00
-1.1987191E+02,7.526274E-01,-7.4920654E-02,1.4019012E+00
-1.1987008E+02,7.525052E-01,-2.1820068E-02,1.4011383E+00
-1.1986825E+02,7.524780E-01,-1.8463135E-02,1.3965607E+00
-1.1986642E+02,7.523965E-01,-1.0177612E-01,1.3980865E+00
-1.1986459E+02,7.523558E-01,-1.3839722E-01,1.4003754E+00
-1.1986276E+02,7.524101E-01,-1.0452271E-01,1.3957977E+00
-1.1986093E+02,7.523694E-01,-1.6860962E-01,1.3996124E+00
-1.1985909E+02,7.524373E-01,-2.0950317E-01,1.3996124E+00
-1.1985726E+02,7.524237E-01,-2.1957397E-01,1.3996124E+00
-1.1985543E+02,7.524916E-01,-2.1286011E-01,1.3927460E+00
-1.1985360E+02,7.524373E-01,-8.2855225E-02,1.3896942E+00
-1.1985177E+02,7.524508E-01,-5.9967041E-02,1.3935089E+00
-1.1984994E+02,7.525323E-01,-1.4724731E-01,1.3980865E+00
-1.1984811E+02,7.525187E-01,-2.2048950E-01,1.3973236E+00
-1.1984628E+02,7.524780E-01,-6.9122314E-02,1.3957977E+00
-1.1984445E+02,7.524644E-01,6.9732666E-02,1.3973236E+00
-1.1984262E+02,7.523965E-01,-1.5258789E-04,1.3980865E+00
-1.1984078E+02,7.523965E-01,-4.3792725E-02,1.3912201E+00
-1.1983895E+02,7.523558E-01,-1.5106201E-02,1.3980865E+00
-1.1983712E+02,7.523829E-01,-2.8839111E-02,1.4019012E+00
-1.1983529E+02,7.524373E-01,-3.4637451E-02,1.4019012E+00
-1.1983346E+02,7.524101E-01,-1.0681152E-03,1.3988495E+00
-1.1983163E+02,7.524373E-01,-1.4801025E-02,1.3996124E+00
-1.1982980E+02,7.525187E-01,3.9825439E-02,1.4034271E+00
-1.1982797E+02,7.524101E-01,1.9271851E-01,1.4041901E+00
-1.1982614E+02,7.523150E-01,5.5389404E-02,1.4041901E+00
-1.1982430E+02,7.523286E-01,1.0055542E-01,1.4057159E+00
-1.1982247E+02,7.523422E-01,1.6586304E-01,1.4064789E+00
-1.1982064E+02,7.523829E-01,2.2964478E-01,1.4034271E+00
-1.1981881E+02,7.523558E-01,2.6626587E-01,1.4049530E+00
-1.1981698E+02,7.523965E-01,1.9119263E-01,1.4080048E+00
-1.1981515E+02,7.524916E-01,1.1947632E-01,1.4102936E+00
-1.1981332E+02,7.523965E-01,1.9119263E-01,1.4080048E+00
-1.1981149E+02,7.524916E-01,1.1947632E-01,1.4102936E+00
-1.1980966E+02,7.525052E-01,3.5202026E-01,1.4049530E+00
-1.1980783E+02,7.524373E-01,4.5883179E-01,1.4057159E+00
-1.1980599E+02,7.524780E-01,2.0614624E-01,1.4133453E+00
-1.1980416E+02,7.525323E-01,1.4328003E-01,1.4125824E+00
-1.1980233E+02,7.524373E-01,1.7501831E-01,1.4072418E+00
-1.1980050E+02,7.523829E-01,1.8478394E-01,1.4049530E+00
-1.1979867E+02,7.524508E-01,2.1255493E-01,1.4095306E+00
-1.1979684E+02,7.523150E-01,1.2466431E-01,1.4095306E+00
-1.1979501E+02,7.522336E-01,7.2174072E-02,1.4064789E+00
-1.1979318E+02,7.522879E-01,1.7593384E-01,1.4080048E+00
-1.1979135E+02,7.522879E-01,2.9129028E-01,1.4110565E+00
-1.1978951E+02,7.523422E-01,3.1295776E-01,1.4148712E+00
-1.1978768E+02,7.523422E-01,2.8030396E-01,1.4102936E+00
-1.1978585E+02,7.522607E-01,2.3391724E-01,1.4095306E+00
-1.1978402E+02,7.523422E-01,2.6962280E-01,1.4072418E+00
-1.1978219E+02,7.522743E-01,2.3666382E-01,1.4087677E+00
-1.1978036E+02,7.522200E-01,8.5601807E-02,1.4110565E+00
-1.1977853E+02,7.521521E-01,-4.5776367E-04,1.4095306E+00
-1.1977670E+02,7.521657E-01,1.0086060E-01,1.4102936E+00
-1.1977487E+02,7.520706E-01,6.7596436E-02,1.4148712E+00
-1.1977304E+02,7.521385E-01,6.2103271E-02,1.4064789E+00
-1.1977120E+02,7.521113E-01,-5.5694580E-02,1.4148712E+00
-1.1976937E+02,7.520977E-01,-2.7618408E-02,1.4133453E+00
-1.1976754E+02,7.520706E-01,1.0360718E-01,1.4156342E+00
-1.1976571E+02,7.521928E-01,4.5013428E-02,1.4141083E+00
-1.1976388E+02,7.522336E-01,-4.5623779E-02,1.4179230E+00
-1.1976205E+02,7.521249E-01,-1.5609741E-01,1.4179230E+00
-1.1976022E+02,7.520570E-01,-4.5623779E-02,1.4148712E+00
-1.1975839E+02,7.520842E-01,8.0871582E-03,1.4148712E+00
-1.1975656E+02,7.520298E-01,1.0528564E-02,1.4110565E+00
-1.1975472E+02,7.520163E-01,-1.0833740E-02,1.4102936E+00
-1.1975289E+02,7.520027E-01,-8.2550049E-02,1.4102936E+00
-1.1975106E+02,7.520434E-01,-8.8958740E-02,1.4102936E+00
-1.1974923E+02,7.520027E-01,-1.3732910E-03,1.4102936E+00
-1.1974740E+02,7.520977E-01,1.6326904E-02,1.4156342E+00
-1.1974557E+02,7.520977E-01,-8.3923340E-03,1.4118195E+00
-1.1974374E+02,7.520434E-01,3.2196045E-02,1.4125824E+00
-1.1974191E+02,7.519076E-01,-5.8135986E-02,1.4141083E+00
-1.1974008E+02,7.519619E-01,-2.0248413E-01,1.4141083E+00
-1.1973825E+02,7.519891E-01,-1.1672974E-01,1.4095306E+00
-1.1973641E+02,7.520027E-01,-6.7596436E-02,1.4102936E+00
-1.1973458E+02,7.520298E-01,1.5411377E-02,1.4141083E+00
-1.1973275E+02,7.519891E-01,3.7078857E-02,1.4194489E+00
-1.1973092E+02,7.520298E-01,-1.2069702E-01,1.4141083E+00
-1.1972909E+02,7.520163E-01,-1.6586304E-01,1.4095306E+00
-1.1972726E+02,7.519755E-01,-8.3160400E-02,1.4095306E+00
-1.1972543E+02,7.519484E-01,-1.1947632E-01,1.4148712E+00
-1.1972360E+02,7.519212E-01,-1.9638062E-01,1.4133453E+00
-1.1972177E+02,7.518261E-01,-4.1030884E-01,1.4080048E+00
-1.1971993E+02,7.517582E-01,-5.0949097E-01,1.4080048E+00
-1.1971810E+02,7.517990E-01,-2.7633667E-01,1.4118195E+00
-1.1971627E+02,7.518397E-01,-7.5531006E-02,1.4148712E+00
-1.1971444E+02,7.517175E-01,-2.2293091E-01,1.4194489E+00
-1.1971261E+02,7.517718E-01,-3.0838013E-01,1.4148712E+00
-1.1971078E+02,7.518397E-01,-3.0563354E-01,1.4087677E+00
-1.1970895E+02,7.518261E-01,-2.8366089E-01,1.4064789E+00
-1.1970712E+02,7.518126E-01,-2.1072388E-01,1.4133453E+00
-1.1970529E+02,7.518533E-01,-3.1051636E-01,1.4148712E+00
-1.1970345E+02,7.518397E-01,-3.4622192E-01,1.4125824E+00
-1.1970162E+02,7.517854E-01,-3.1875610E-01,1.4141083E+00
-1.1969979E+02,7.517311E-01,-2.7145386E-01,1.4148712E+00
-1.1969796E+02,7.517990E-01,-2.5100708E-01,1.4202118E+00
-1.1969613E+02,7.517582E-01,-2.4978638E-01,1.4141083E+00
-1.1969430E+02,7.517311E-01,-2.7999878E-01,1.4156342E+00
-1.1969247E+02,7.517175E-01,-2.0523071E-01,1.4171600E+00
-1.1969064E+02,7.518126E-01,-1.3381958E-01,1.4163971E+00
-1.1968881E+02,7.518533E-01,-2.5009155E-01,1.4179230E+00
-1.1968698E+02,7.519348E-01,-2.3971558E-01,1.4194489E+00
-1.1968514E+02,7.517718E-01,-4.4708252E-02,1.4163971E+00
-1.1968331E+02,7.517990E-01,-2.2125244E-02,1.4163971E+00
-1.1968148E+02,7.516903E-01,-1.9088745E-01,1.4163971E+00
-1.1967965E+02,7.516089E-01,-3.7673950E-01,1.4133453E+00
-1.1967782E+02,7.516903E-01,-3.9535522E-01,1.4141083E+00
-1.1967599E+02,7.516224E-01,-2.7908325E-01,1.4163971E+00
-1.1967416E+02,7.515681E-01,-2.3452759E-01,1.4141083E+00
-1.1967233E+02,7.516089E-01,-2.4185181E-01,1.4148712E+00
-1.1967050E+02,7.517311E-01,-2.9861450E-01,1.4141083E+00
-1.1966866E+02,7.516903E-01,-2.5863647E-01,1.4118195E+00
-1.1966683E+02,7.516089E-01,-1.3687134E-01,1.4163971E+00
